RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,RegionFullName
53327,2732,Millbrae,city,CA,CA,"San Francisco-Oakland-Berkeley, CA",San Mateo County,Millbrae.CA
31927,2733,Hampstead,city,NC,NC,"Wilmington, NC",Pender County,Hampstead.NC
56087,2734,Olmsted Falls,city,OH,OH,"Cleveland-Elyria, OH",Cuyahoga County,Olmsted Falls.OH
24693,2735,Fayetteville,city,TN,TN,,Lincoln County,Fayetteville.TN
19190,2736,Maple Heights,city,OH,OH,"Cleveland-Elyria, OH",Cuyahoga County,Maple Heights.OH
52835,2737,Ladera Ranch,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Orange County,Ladera Ranch.CA
12380,2738,Lexington Park,city,MD,MD,"California-Lexington Park, MD",Saint Marys County,Lexington Park.MD
14963,2739,Bristol,city,PA,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,Bristol.PA
28306,2741,Cleveland,city,GA,GA,,White County,Cleveland.GA
21627,2742,Derwood,city,MD,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Montgomery County,Derwood.MD
42786,2743,Riverside,city,OH,OH,"Dayton-Kettering, OH",Montgomery County,Riverside.OH
41825,2744,Zion,city,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,Zion.IL
25893,2745,Mill Creek,city,WA,WA,"Seattle-Tacoma-Bellevue, WA",Snohomish County,Mill Creek.WA
38590,2747,Fountain Hills,city,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,Fountain Hills.AZ
27354,2748,Sycamore,city,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",DeKalb County,Sycamore.IL
396606,2749,Vinings,city,GA,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Cobb County,Vinings.GA
23695,2750,Bethpage,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Nassau County,Bethpage.NY
44544,2751,Champlin,city,MN,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",Hennepin County,Champlin.MN
52056,2752,Forest Park,city,OH,OH,"Cincinnati, OH-KY-IN",Hamilton County,Forest Park.OH
56232,2753,New Brighton,city,MN,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",Ramsey County,New Brighton.MN
6543,2754,Plymouth,city,IN,IN,"Plymouth, IN",Marshall County,Plymouth.IN
41741,2755,Winchester,city,MA,MA,"Boston-Cambridge-Newton, MA-NH",Middlesex County,Winchester.MA
9840,2756,Agoura Hills,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,Agoura Hills.CA
23131,2757,McKees Rocks,city,PA,PA,"Pittsburgh, PA",Allegheny County,McKees Rocks.PA
39491,2757,London,city,OH,OH,"Columbus, OH",Madison County,London.OH
50833,2759,Bainbridge,city,GA,GA,"Bainbridge, GA",Decatur County,Bainbridge.GA
9949,2760,Lewisburg,city,TN,TN,"Lewisburg, TN",Marshall County,Lewisburg.TN
47074,2761,Petal,city,MS,MS,"Hattiesburg, MS",Forrest County,Petal.MS
10694,2762,Canfield,city,OH,OH,"Youngstown-Warren-Boardman, OH-PA",Mahoning County,Canfield.OH
29910,2763,North Pole,city,AK,AK,"Fairbanks, AK",Fairbanks North Star Borough,North Pole.AK
399153,2764,Hingham,city,MA,MA,"Boston-Cambridge-Newton, MA-NH",Plymouth County,Hingham.MA
38095,2765,Crystal,city,MN,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",Hennepin County,Crystal.MN
32911,2766,Mokena,city,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Will County,Mokena.IL
31396,2767,Elko,city,NV,NV,"Elko, NV",Elko County,Elko.NV
49102,2768,Georgetown,city,DE,DE,"Salisbury, MD-DE",Sussex County,Georgetown.DE
206966,2770,Hayesville,city,OR,OR,"Salem, OR",Marion County,Hayesville.OR
19855,2771,Parlin,city,NJ,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Middlesex County,Parlin.NJ
22854,2772,Wendell,city,NC,NC,"Raleigh-Cary, NC",Wake County,Wendell.NC
47954,2773,Tavares,city,FL,FL,"Orlando-Kissimmee-Sanford, FL",Lake County,Tavares.FL
5396,2774,Kennett Square,city,PA,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Chester County,Kennett Square.PA
23512,2775,Ardmore,city,OK,OK,"Ardmore, OK",Carter County,Ardmore.OK
24664,2776,Fairmont,city,WV,WV,"Fairmont, WV",Marion County,Fairmont.WV
50054,2777,Watauga,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Tarrant County,Watauga.TX
55727,2778,Edgewood,city,MD,MD,"Baltimore-Columbia-Towson, MD",Harford County,Edgewood.MD
395893,2779,Dewitt,city,MI,MI,"Lansing-East Lansing, MI",Clinton County,Dewitt.MI
44861,2780,Darien,city,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,Darien.IL
52591,2781,Hudson,city,OH,OH,"Akron, OH",Summit County,Hudson.OH
47198,2782,Port Hueneme,city,CA,CA,"Oxnard-Thousand Oaks-Ventura, CA",Ventura County,Port Hueneme.CA
396834,2783,Greater Northdale,city,FL,FL,"Tampa-St. Petersburg-Clearwater, FL",Hillsborough County,Greater Northdale.FL
16917,2784,Bay City,city,TX,TX,"Bay City, TX",Matagorda County,Bay City.TX
54785,2785,Union,city,KY,KY,"Cincinnati, OH-KY-IN",Boone County,Union.KY
3418,2786,Anthem,city,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,Anthem.AZ
40026,2788,Nogales,city,AZ,AZ,"Nogales, AZ",Santa Cruz County,Nogales.AZ
27174,2788,South Holland,city,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,South Holland.IL
12423,2790,Loma Linda,city,CA,CA,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,Loma Linda.CA
26027,2791,Mountain Brook,city,AL,AL,"Birmingham-Hoover, AL",Jefferson County,Mountain Brook.AL
14668,2792,Wilmington,city,MA,MA,"Boston-Cambridge-Newton, MA-NH",Middlesex County,Wilmington.MA
22170,2793,Keene,city,NH,NH,"Keene, NH",Cheshire County,Keene.NH
53089,2794,Lynn Haven,city,FL,FL,"Panama City, FL",Bay County,Lynn Haven.FL
244024,2795,Groveton,city,VA,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Fairfax County,Groveton.VA
7945,2796,Williamsburg,city,KY,KY,"London, KY",Whitley County,Williamsburg.KY
35597,2797,Lawrenceburg,city,KY,KY,"Frankfort, KY",Anderson County,Lawrenceburg.KY
56889,2798,Gloucester,city,VA,VA,"Virginia Beach-Norfolk-Newport News, VA-NC",Gloucester County,Gloucester.VA
44094,2799,Bedford,city,NH,NH,"Manchester-Nashua, NH",Hillsborough County,Bedford.NH
54571,2800,Stoneham,city,MA,MA,"Boston-Cambridge-Newton, MA-NH",Middlesex County,Stoneham.MA
52698,2801,Johnston,city,IA,IA,"Des Moines-West Des Moines, IA",Polk County,Johnston.IA
26021,2802,Mount Vernon,city,IL,IL,"Mount Vernon, IL",Jefferson County,Mount Vernon.IL
7241,2803,Stanwood,city,WA,WA,"Seattle-Tacoma-Bellevue, WA",Snohomish County,Stanwood.WA
18295,2804,Glen Mills,city,PA,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,Glen Mills.PA
25687,2805,Lyndhurst,city,NJ,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Bergen County,Lyndhurst.NJ
5963,2806,Millington,city,TN,TN,"Memphis, TN-MS-AR",Shelby County,Millington.TN
30224,2807,Anna,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Collin County,Anna.TX
3732,2808,Boaz,city,AL,AL,"Gadsden, AL",Etowah County,Boaz.AL
